surface_name	site_name	species_name	formation_energy	frequencies	reference
None	gas	CO	0.0	[]	own calc
None	gas	H2	0.0	[]	own calc
None	gas	H2O	0.0	[]	own calc
None	gas	C2H4	-5.76975805	[]	own calc
Au	100	CO	-0.03057841717262777	[]	own calc
Au	100	OCCO	0.3551596796650395	[]	own calc
Au	100	OCHCO	0.1782474632605584	[]	own calc
Au	100	OCCOH	1.1659516316722118	[]	own calc
Au	100	H	0.3221512666786729	[]	own calc
Au	100	CCO	0.24445563551754323	[]	own calc
Au	100	HCCO	-0.17384047712786743	[]	own calc
Au	100	OCCHOH	1.233605637539909	[]	own calc
Au	100	CHO	0.5413163159653911	[]	own calc
Au	100	COH	2.185899986716132	[]	own calc
Cu	100	CO	-0.39779543377683224	[]	own calc
Cu	100	OCCO	-0.16982390582301565	[]	own calc
Cu	100	OCHCO	-0.33951379127014425	[]	own calc
Cu	100	OCCOH	0.3173356225961528	[]	own calc
Cu	100	H	0.09869186955264986	[]	own calc
Cu	100	CCO	-0.8870049006136611	[]	own calc
Cu	100	HCCO	-0.41106226279559777	[]	own calc
Cu	100	OC-CO	-0.08731823628726954	[]	own calc
Cu	100	OCCHOH	0.21325694918688975	[]	own calc
Cu	100	CHO	0.3657358416041282	[]	own calc
Cu	100	COH	1.0325447134726846	[]	own calc
Ir	100	CO	-1.8340404481148473	[]	own calc
Ir	100	OCCO	-2.0030312019289793	[]	own calc
Ir	100	OCHCO	-1.30927287007018	[]	own calc
Ir	100	OCCOH	-1.4293659560945162	[]	own calc
Ir	100	H	-0.3660206682705833	[]	own calc
Ir	100	CCO	-1.117535233742033	[]	own calc
Ir	100	HCCO	-0.4624191891689218	[]	own calc
Ir	100	OC-CO	-1.9300029423377574	[]	own calc
Ir	100	OCCHOH	-0.6449123414999135	[]	own calc
Ir	100	CHO	-0.3386874957654176	[]	own calc
Ir	100	COH	-0.42633214068117375	[]	own calc
Rh	100	CO	-1.8285355948731348	[]	own calc
Rh	100	OCCO	-1.974279892643264	[]	own calc
Rh	100	OCHCO	-1.3737874077608794	[]	own calc
Rh	100	OCCOH	-1.347195224355652	[]	own calc
Rh	100	H	-0.3045787146107213	[]	own calc
Rh	100	CCO	-1.4643728640708198	[]	own calc
Rh	100	HCCO	-1.142624853873959	[]	own calc
Rh	100	OC-CO	-1.978803385836155	[]	own calc
Rh	100	OCCHOH	-0.6195851701658347	[]	own calc
Rh	100	CHO	-0.3995208141376932	[]	own calc
Rh	100	COH	-0.5479427635474972	[]	own calc
Pt	100	CO	-1.8182365634888158	[]	own calc
Pt	100	OCCO	-2.05403400803732	[]	own calc
Pt	100	OCHCO	-0.8732626707568625	[]	own calc
Pt	100	OCCOH	-1.2998534863275921	[]	own calc
Pt	100	H	-0.3746618371094317	[]	own calc
Pt	100	CCO	-0.590959924278657	[]	own calc
Pt	100	HCCO	-0.20146274006042186	[]	own calc
Pt	100	OC-CO	-2.0515994167556135	[]	own calc
Pt	100	OCCHOH	-0.5101130346132444	[]	own calc
Pt	100	CHO	-0.4932373745861299	[]	own calc
Pt	100	COH	0.03182746657930002	[]	own calc
Ni	100	CO	-1.6977654551155497	[]	own calc
Ni	100	OCCO	-1.6917883915158682	[]	own calc
Ni	100	OCHCO	-1.2697306174781167	[]	own calc
Ni	100	OCCOH	-1.1915158304830262	[]	own calc
Ni	100	H	-0.1856827610036516	[]	own calc
Ni	100	CCO	-1.5989557481518086	[]	own calc
Ni	100	HCCO	-0.3423257728180753	[]	own calc
Ni	100	OCCHOH	-0.5138520687023244	[]	own calc
Ni	100	CHO	-0.11947578428518241	[]	own calc
Ni	100	COH	-0.4987548510207114	[]	own calc
Ag	100	CO	0.32288253370102726	[]	own calc
Ag	100	OCCO	0.754352993961584	[]	own calc
Ag	100	OCHCO	0.41622410983707897	[]	own calc
Ag	100	OCCOH	1.3930024476825136	[]	own calc
Ag	100	H	0.4501683044502106	[]	own calc
Ag	100	CCO	0.010500970184244562	[]	own calc
Ag	100	HCCO	-0.1741554783413204	[]	own calc
Ag	100	OC-CO	0.7968262665822157	[]	own calc
Ag	100	CHO	0.7328999902061709	[]	own calc
Ag	100	COH	2.376184533965753	[]	own calc
Pd	100	CO	-1.6174293557670398	[]	own calc
Pd	100	OCCO	-1.7461200168449686	[]	own calc
Pd	100	OCHCO	-0.9106995141182161	[]	own calc
Pd	100	OCCOH	-0.9600947870029871	[]	own calc
Pd	100	H	-0.32163197971188395	[]	own calc
Pd	100	CCO	-1.0218395874257795	[]	own calc
Pd	100	HCCO	-1.5009659985729915	[]	own calc
Pd	100	OC-CO	-1.756048219290758	[]	own calc
Pd	100	OCCHOH	-0.21009802399089217	[]	own calc
Pd	100	CHO	-0.339362046462689	[]	own calc
Pd	100	COH	-0.12259472713452335	[]	own calc
