------
Au1Cu1, tetragonal, P4/mmm
-------
Cu2Pd6, tetragonal, I4/mmm
-------
001   0   top-a   Cu   -1.0428559900000085
001   0   top-b   Pd   -1.614500989999998
001   1   top-a   Pd   -1.176780569999993
001   1   top-b   Pd   -1.183564480000003
112   0   top-a   Cu   -0.6241422799999885
112   0   top-b   Pd   -1.117926749999997
112   0   top-c   Pd   -1.221135349999999
------
Cu1Pd1, cubic, Pm-3m
-------
100   0   top-a   Cu   -0.7997891600000049
100   0   top-b   Cu   -0.9195100000000043
100   1   top-a   Pd   -1.6094934700000056
100   1   top-b   Pd   -1.2669442100000072
110   0   top-a   Cu   -0.6741154600000119
110   0   top-b   Pd   -1.1272911000000096
------
Ag3Au3, trigonal, R-3m
-------
0001   0   top-a   Ag   -0.08369051999999932
0001   1   top-a   Au   -0.10384296000000148
1-102   0   top-a   Ag   -0.13392370000000042
1-102   0   top-b   Au   -0.046810660000000226
------
Ag3Pd3, trigonal, R-3m
-------
0001   0   top-a   Ag   -0.09747724999999896
0001   1   top-a   Pd   -0.9870146800000033
1-102   0   top-a   Ag   -0.12348388999999749
1-102   0   top-b   Pd   -1.1383542599999945
------
Ag3Pt3, trigonal, R-3m
-------
0001   0   top-a   Pt   -1.1077166500000022
0001   1   top-a   Ag   -0.08174006999999683
1-102   0   top-a   Ag   -0.12548901999999096
1-102   0   top-b   Pt   -1.603336729999997
------
Ag6Au2, tetragonal, I4/mmm
-------
010   0   top-a   Ag   -0.16460682000000482
010   0   top-b   Au   -0.08449239000000297
010   0   top-c   Ag   -0.15618181000000497
112   0   top-a   Ag   -0.0690062600000001
112   0   top-b   Au   -0.05802059000000348
112   0   top-c   Ag   -0.08827245000000339
------
Au1Pd3, cubic, Pm-3m
-------
100   0   top-a   Pd   -1.2983846100000012
100   0   top-b   Pd   -1.2990110100000027
100   1   top-a   Pd   -1.166606009999997
100   1   top-b   Au   -0.5151168399999921
111   0   top-a   Au   -0.28648872000001013
111   0   top-b   Pd   -1.1367329000000002
111   0   top-c   Pd   -1.1369756400000046
------
Cu3Pt3, trigonal, R-3m
-------
0001   0   top-a   Pt   -0.9049169199999927
0001   1   top-a   Cu   -0.7939421699999958
1-102   0   top-a   Cu   -0.4679269399999999
1-102   0   top-b   Pt   -1.5356092400000012
------
Ag2Au6, tetragonal, I4/mmm
-------
100   0   top-a   Ag   -0.23664190999999946
100   0   top-b   Au   -0.21480743999999952
100   0   top-c   Au   -0.16572202000000047
112   0   top-a   Au   -0.09413915999999922
112   0   top-b   Au   -0.11438939000000126
112   0   top-c   Ag   -0.14458183999999896
------
Rh1Zn1, cubic, Pm-3m
-------
100   0   top-a   Rh   -0.3919003799999974
